,r2,mae,rmse
Lasso Regression,0.9236906023772369,9.772756574719311,25.158222174069703
Linear Regression,0.9228786187789699,9.782514834106435,25.291718240792544
Ridge Regression,0.9222786861594766,9.778747464345878,25.389900691385417
Gradient Boosting,0.9117740960809121,2.3928868095477,27.051353130811453
XGBoost,0.9114057699072828,2.7168589218251906,27.107761415928735
Decision Tree,0.9081481038856684,3.5036096058901594,27.60164706811615
Random Forest,0.8932740163519046,1.9114348644335482,29.75267501536826
